CoCd,Material,Short Text,Plnt,SLoc,Matl Group,PO Quantity,Net Price,Net Value,Gross value,Price Date,Daily Median Net Price
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B133,1500,2700.0,26.4,71280.0,71280.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B133,1500,3050.0,24.26,73993.0,73993.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B159,1500,300.0,26.4,7920.0,7920.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B159,1500,2550.0,24.26,61863.0,61863.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B023,1500,400.0,28.45,11380.0,11380.0,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B023,1500,5400.0,26.4,142560.0,142560.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B023,1500,1350.0,24.26,32751.0,32751.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Starter Feed,PS36,F005,1500,10000.0,27.9,279000.0,279000.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS36,F005,1500,20000.0,25.76,515200.0,515200.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Finisher Feed,PS37,F004,1500,8500.0,25.76,218960.0,218960.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Starter Feed,PS37,F004,1500,9500.0,27.9,265050.0,265050.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,A570,1500,9700.0,26.4,256080.0,256080.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,A570,1500,300.0,24.26,7278.0,7278.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS23,A897,1500,1500.0,30.75,46125.0,46125.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS23,A897,1500,3300.0,28.7,94710.0,94710.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS23,A897,1500,8350.0,26.56,221776.0,221776.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS23,B072,1500,4100.0,30.95,126895.0,126895.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS23,B072,1500,9000.0,28.9,260100.0,260100.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS23,B072,1500,4750.0,26.76,127110.0,127110.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS36,F009,1500,25000.0,29.95,748750.0,748750.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS36,F009,1500,5000.0,27.9,139500.0,139500.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS36,F005,1500,5000.0,29.95,149750.0,149750.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS36,F005,1500,10000.0,27.9,279000.0,279000.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS36,F005,1500,15000.0,25.76,386400.0,386400.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Starter Feed,PS36,F005,1500,10000.0,27.9,279000.0,279000.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS36,F005,1500,7500.0,25.76,193200.0,193200.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS36,F005,1500,12500.0,25.76,322000.0,322000.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS37,F007,1500,10000.0,25.76,257600.0,257600.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS37,F007,1500,5000.0,25.76,128800.0,128800.0,2019-01-02,27.17
